,Word,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),e,t,a,o,i,th,he,in,er,an,Frequency,Char_repitions
271,march,0,9,30,35,19,6,1,0,0,0.5,0,0,0,0,0,0,0,0.04139629,0
272,sloth,1,10,38,34,13,3,0,0,0.5,0,0.5,0,1,0,0,0,0,0.000382601,0
273,dandy,0,2,11,23,29,24,11,0,0,0.5,0,0,0,0,0,0,1,0.000628028,0.5
274,vigor,0,2,15,35,31,14,2,0,0,0,0.5,0.5,0,0,0,0,0,0.001146237,0
275,howdy,0,2,13,32,32,17,4,0,0,0,0.5,0,0,0,0,0,0,0.000172013,0
276,enjoy,0,3,12,29,33,20,3,0.5,0,0,0.5,0,0,0,0,0,0,0.020720151,0
277,valid,0,4,28,38,21,8,1,0,0,0.5,0,0.5,0,0,0,0,0,0.010879038,0
278,ionic,0,2,13,25,28,21,11,0,0,0,0.5,1,0,0,0,0,0,0.002451211,0.5
279,equal,0,5,23,35,25,11,2,0.5,0,0.5,0,0,0,0,0,0,0,0.033695736,0
280,floor,0,3,23,44,24,6,0,0,0,0,1,0,0,0,0,0,0,0.052039042,0.5
281,catch,0,7,18,20,15,16,23,0,0.5,0.5,0,0,0,0,0,0,0,0.020441231,0.5
282,spade,1,8,29,36,19,6,1,0.5,0,0.5,0,0,0,0,0,0,0,0.000901827,0
283,stein,1,12,34,32,16,5,1,0.5,0.5,0,0,0.5,0,0,1,0,0,0.002511175,0
284,exist,0,5,24,38,23,8,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0.026033762,0
285,quirk,0,3,23,39,24,9,2,0,0,0,0,0.5,0,0,0,0,0,0.000441278,0
286,denim,0,5,29,40,20,5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.000769569,0
287,grove,0,4,18,30,28,17,3,0.5,0,0,0.5,0,0,0,0,0,0,0.003704229,0
288,spiel,0,7,32,36,19,6,1,0.5,0,0,0,0.5,0,0,0,0,0,0.000175145,0
289,mummy,0,1,4,14,27,37,18,0,0,0,0,0,0,0,0,0,0,0.001804646,1
290,fault,0,7,27,35,22,8,1,0,0.5,0.5,0,0,0,0,0,0,0,0.015123114,0
291,foggy,0,2,13,35,32,15,3,0,0,0,0.5,0,0,0,0,0,0,0.000670287,0.5
292,flout,0,6,28,37,21,7,1,0,0.5,0,0.5,0,0,0,0,0,0,9.50E-05,0
293,carry,0,4,22,35,24,12,3,0,0,0.5,0,0,0,0,0,0,0,0.028382401,0.5
294,sneak,0,7,28,36,21,7,1,0.5,0,0.5,0,0,0,0,0,0,0,0.002193122,0
295,libel,0,3,15,32,32,16,2,0.5,0,0,0,0.5,0,0,0,0,0,0.000757216,0.5
296,waltz,0,2,11,29,35,19,3,0,0.5,0.5,0,0,0,0,0,0,0,0.000970763,0
297,aptly,0,3,26,41,23,7,1,0,0.5,0.5,0,0,0,0,0,0,0,0.000999907,0
298,piney,0,1,14,37,33,14,2,0.5,0,0,0,0.5,0,0,1,0,0,8.61E-05,0
299,inept,0,6,30,39,20,6,1,0.5,0.5,0,0,0.5,0,0,1,0,0,0.000398954,0
300,aloud,1,18,31,30,15,4,1,0,0,0.5,0.5,0,0,0,0,0,0,0.005676264,0
301,photo,0,5,34,43,15,3,0,0,0.5,0,1,0,0,0,0,0,0,0.014013896,0.5
302,dream,5,14,31,29,15,4,1,0.5,0,0.5,0,0,0,0,0,0,0,0.026506958,0
303,stale,2,19,30,27,15,6,2,0.5,0.5,0.5,0,0,0,0,0,0,0,0.001322168,0
304,begin,0,6,26,36,23,7,1,0.5,0,0,0,0.5,0,0,1,0,0,0.035510485,0
305,spell,0,4,24,37,24,9,1,0.5,0,0,0,0,0,0,0,0,0,0.007019503,0.5
306,rainy,1,16,38,31,11,3,1,0,0,0.5,0,0.5,0,0,1,0,0,0.001642451,0
307,unite,1,11,31,33,18,5,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0.002221761,0
308,medal,0,5,25,38,23,8,1,0.5,0,0.5,0,0,0,0,0,0,0,0.002190825,0
309,valet,0,4,22,38,25,9,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0.000973134,0
310,inane,0,8,25,30,21,13,3,0.5,0,0.5,0,0.5,0,0,1,0,1,0.000212872,0.5
311,maple,1,6,26,36,21,8,1,0.5,0,0.5,0,0,0,0,0,0,0,0.002166161,0
312,snarl,0,5,21,31,24,15,4,0,0,0.5,0,0,0,0,0,0,0,0.000720201,0
313,baker,0,5,16,23,24,22,10,0.5,0,0.5,0,0,0,0,0,1,0,0.006770004,0
314,there,0,14,35,33,14,4,0,1,0.5,0,0,0,1,1,0,1,0,0.869567596,0.5
315,glyph,0,2,23,49,20,5,1,0,0,0,0,0,0,0,0,0,0,0.000138702,0
316,avert,0,7,26,35,22,9,1,0.5,0.5,0.5,0,0,0,0,0,1,0,0.000824587,0
317,brave,1,6,17,27,27,18,5,0.5,0,0.5,0,0,0,0,0,0,0,0.007675983,0
318,axiom,0,5,19,33,27,13,3,0,0,0.5,0.5,0.5,0,0,0,0,0,0.000969435,0
319,prime,1,10,26,32,21,9,1,0.5,0,0,0,0.5,0,0,0,0,0,0.015292181,0
320,drive,1,12,32,30,18,6,1,0.5,0,0,0,0.5,0,0,0,0,0,0.033423413,0
321,feast,5,13,25,27,19,10,2,0.5,0.5,0.5,0,0,0,0,0,0,0,0.005450114,0
322,itchy,0,8,28,40,18,5,1,0,0.5,0,0,0.5,0,0,0,0,0,0.000426416,0
323,clean,1,17,36,31,12,3,0,0.5,0,0.5,0,0,0,0,0,0,1,0.025042756,0
324,happy,0,6,28,39,19,6,1,0,0,0.5,0,0,0,0,0,0,0,0.047044329,0.5
325,tepid,0,10,38,35,13,3,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0.000325653,0
326,undue,0,3,19,35,29,13,2,0.5,0,0,0,0,0,0,0,0,0,0.001474624,0.5
327,study,0,6,30,33,19,10,2,0,0.5,0,0,0,0,0,0,0,0,0.127637493,0
328,eject,0,2,11,35,36,14,2,1,0.5,0,0,0,0,0,0,0,0,0.00023234,0.5
329,chafe,0,6,30,33,19,9,2,0.5,0,0.5,0,0,0,0,0,0,0,0.000161491,0
330,torso,0,4,35,36,17,6,1,0,0.5,0,1,0,0,0,0,0,0,0.002033339,0.5
331,adore,2,17,32,29,15,5,1,0.5,0,0.5,0.5,0,0,0,0,0,0,0.00099316,0
332,woken,0,2,10,25,36,23,4,0.5,0,0,0.5,0,0,0,0,0,0,0.001336213,0
333,amber,0,6,22,33,24,12,3,0.5,0,0.5,0,0,0,0,0,1,0,0.003934891,0
334,joust,0,6,29,34,21,8,2,0,0.5,0,0.5,0,0,0,0,0,0,9.22E-05,0
335,infer,0,3,19,33,26,14,3,0.5,0,0,0,0.5,0,0,1,1,0,0.002051102,0
336,braid,0,10,36,35,14,3,0,0,0,0.5,0,0.5,0,0,0,0,0,0.001011807,0
337,knock,0,3,18,43,27,8,1,0,0,0,0.5,0,0,0,0,0,0,0.00732592,0.5
338,naive,1,7,24,32,24,11,1,0.5,0,0.5,0,0.5,0,0,0,0,0,0.001831964,0
339,apply,0,5,28,38,22,7,1,0,0,0.5,0,0,0,0,0,0,0,0.028068974,0.5
340,spoke,0,6,31,38,19,5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.037806013,0
341,usual,0,3,20,39,27,10,1,0,0,0.5,0,0,0,0,0,0,0,0.023473572,0.5
342,rival,0,7,27,35,22,8,1,0,0,0.5,0,0.5,0,0,0,0,0,0.004870936,0
343,probe,0,6,24,32,24,11,3,0.5,0,0,0.5,0,0,0,0,0,0,0.00418892,0
344,chord,0,7,39,38,13,3,0,0,0,0,0.5,0,0,0,0,0,0,0.001850091,0
345,taper,0,8,28,30,20,11,3,0.5,0.5,0.5,0,0,0,0,0,1,0,0.000676063,0
346,slate,6,14,33,27,13,5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0.00174013,0
347,third,1,10,47,32,9,2,0,0,0.5,0,0,0.5,1,0,0,0,0,0.076597363,0
348,lunar,0,5,32,40,17,4,0,0,0,0.5,0,0,0,0,0,0,0,0.0016232,0
349,excel,0,1,13,34,34,15,2,1,0,0,0,0,0,0,0,0,0,0.00308597,0.5
350,aorta,0,7,26,35,20,10,3,0,0.5,1,0.5,0,0,0,0,0,0,0.00138598,0.5
351,poise,2,11,34,32,15,6,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0.000527284,0
352,extra,1,5,20,35,28,10,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0.019402931,0
353,judge,0,2,8,16,26,33,14,0.5,0,0,0,0,0,0,0,0,0,0.02555258,0
354,condo,0,2,17,35,29,14,3,0,0,0,1,0,0,0,0,0,0,0.000951096,0.5
355,impel,0,3,21,40,25,9,1,0.5,0,0,0,0.5,0,0,0,0,0,0.000120843,0
356,havoc,0,2,16,38,30,12,2,0,0,0.5,0.5,0,0,0,0,0,0,0.001177657,0
357,molar,0,4,21,38,26,9,1,0,0,0.5,0.5,0,0,0,0,0,0,0.001503622,0
358,manly,0,2,17,37,29,12,2,0,0,0.5,0,0,0,0,0,0,1,0.001520634,0
359,eerie,0.004307898,0.023979487,0.131020685,0.311240102,0.322231794,0.173319753,0.03390028,1,0,0,0,0.5,0,0,0,1,0,0.00066,1
