,Word,e,t,a,o,i,th,he,in,er,an,Frequency
402,clean,1,0,1,0,0,0,0,0,0,1,5.083136e-05
403,clear,1,0,1,0,0,0,0,0,0,0,0.000166256
404,cleat,1,1,1,0,0,0,0,0,0,0,1.59449e-07
405,cleft,1,1,0,0,0,0,0,0,0,0,2.960096e-06
406,clerk,1,0,0,0,0,0,0,0,1,0,1.1216038000000001e-05
407,click,0,0,0,0,1,0,0,0,0,0,3.702342e-05
408,cliff,0,0,0,0,1,0,0,0,0,0,1.0030010000000001e-05
409,climb,0,0,0,0,1,0,0,0,0,0,1.5098759999999999e-05
410,cling,0,0,0,0,1,0,0,1,0,0,3.4261119999999996e-06
411,clink,0,0,0,0,1,0,0,1,0,0,7.787540000000001e-07
412,cloak,0,0,1,1,0,0,0,0,0,0,7.969264e-06
413,clock,0,0,0,1,0,0,0,0,0,0,2.0318460000000003e-05
414,clone,1,0,0,1,0,0,0,0,0,0,2.002356e-06
415,close,1,0,0,1,0,0,0,0,0,0,0.0001778698
416,cloth,0,1,0,1,0,1,0,0,0,0,1.7212639999999998e-05
417,cloud,0,0,0,1,0,0,0,0,0,0,3.500428e-05
418,clout,0,1,0,1,0,0,0,0,0,0,1.1050190000000001e-06
419,clove,1,0,0,1,0,0,0,0,0,0,1.55086e-06
420,clown,0,0,0,1,0,0,0,0,0,0,2.5680060000000004e-06
421,cluck,0,0,0,0,0,0,0,0,0,0,2.3373359999999997e-07
422,clued,1,0,0,0,0,0,0,0,0,0,1.795626e-07
423,clump,0,0,0,0,0,0,0,0,0,0,1.6517960000000001e-06
424,clung,0,0,0,0,0,0,0,0,0,0,6.388408000000001e-06
425,coach,0,0,1,1,0,0,0,0,0,0,1.9762899999999997e-05
426,coast,0,1,1,1,0,0,0,0,0,0,3.537194e-05
427,cobra,0,0,1,1,0,0,0,0,0,0,1.5531979999999997e-06
428,cocoa,0,0,1,2,0,0,0,0,0,0,4.024258e-06
429,colon,0,0,0,2,0,0,0,0,0,0,5.627899999999999e-06
430,color,0,0,0,2,0,0,0,0,0,0,6.10274e-05
431,comet,1,1,0,1,0,0,0,0,0,0,2.266928e-06
432,comfy,0,0,0,1,0,0,0,0,0,0,8.923826e-07
433,comic,0,0,0,1,1,0,0,0,0,0,8.973406e-06
434,comma,0,0,1,1,0,0,0,0,0,0,1.7219239999999998e-06
435,conch,0,0,0,1,0,0,0,0,0,0,5.179536e-07
436,condo,0,0,0,2,0,0,0,0,0,0,1.960344e-06
437,conic,0,0,0,1,1,0,0,0,0,0,3.78734e-07
438,copse,1,0,0,1,0,0,0,0,0,0,7.202032e-07
439,coral,0,0,1,1,0,0,0,0,0,0,5.540456e-06
440,corer,1,0,0,1,0,0,0,0,1,0,4.1767379999999995e-08
441,corny,0,0,0,1,0,0,0,0,0,0,5.638393999999999e-07
442,couch,0,0,0,1,0,0,0,0,0,0,1.6695120000000004e-05
443,cough,0,0,0,1,0,0,0,0,0,0,7.2007360000000005e-06
444,could,0,0,0,1,0,0,0,0,0,0,0.001276894
445,count,0,1,0,1,0,0,0,0,0,0,4.3113919999999995e-05
446,coupe,1,0,0,1,0,0,0,0,0,0,5.673006e-07
447,court,0,1,0,1,0,0,0,0,0,0,0.0001775598
448,coven,1,0,0,1,0,0,0,0,0,0,9.591494000000001e-07
449,cover,1,0,0,1,0,0,0,0,1,0,7.158258e-05
450,covet,1,1,0,1,0,0,0,0,0,0,6.243104e-07
451,covey,1,0,0,1,0,0,0,0,0,0,6.394426e-07
452,cower,1,0,0,1,0,0,0,0,1,0,4.1995439999999997e-07
453,coyly,0,0,0,1,0,0,0,0,0,0,4.2538860000000003e-07
454,crack,0,0,1,0,0,0,0,0,0,0,1.6479580000000003e-05
455,craft,0,1,1,0,0,0,0,0,0,0,1.5111960000000001e-05
456,cramp,0,0,1,0,0,0,0,0,0,0,8.174342000000001e-07
457,crane,1,0,1,0,0,0,0,0,0,1,4.765064e-06
458,crank,0,0,1,0,0,0,0,0,0,1,1.5832519999999999e-06
459,crash,0,0,1,0,0,0,0,0,0,0,1.2384499999999998e-05
460,crass,0,0,1,0,0,0,0,0,0,0,6.338544e-07
461,crate,1,1,1,0,0,0,0,0,0,0,2.101974e-06
462,crave,1,0,1,0,0,0,0,0,0,0,1.7766819999999998e-06
463,crawl,0,0,1,0,0,0,0,0,0,0,5.096014e-06
464,craze,1,0,1,0,0,0,0,0,0,0,8.866305999999999e-07
465,crazy,0,0,1,0,0,0,0,0,0,0,2.7130679999999996e-05
466,creak,1,0,1,0,0,0,0,0,0,0,1.391816e-06
467,cream,1,0,1,0,0,0,0,0,0,0,2.432024e-05
468,credo,1,0,0,1,0,0,0,0,0,0,7.15194e-07
469,creed,2,0,0,0,0,0,0,0,0,0,4.441414e-06
470,creek,2,0,0,0,0,0,0,0,0,0,1.6057640000000003e-05
471,creep,2,0,0,0,0,0,0,0,0,0,5.405744e-06
472,creme,2,0,0,0,0,0,0,0,0,0,1.3320520000000002e-07
473,crepe,2,0,0,0,0,0,0,0,0,0,4.1800879999999996e-07
474,crept,1,1,0,0,0,0,0,0,0,0,7.827064e-06
475,cress,1,0,0,0,0,0,0,0,0,0,3.589962e-07
476,crest,1,1,0,0,0,0,0,0,0,0,5.386412e-06
477,crick,0,0,0,0,1,0,0,0,0,0,9.897560000000003e-07
478,cried,1,0,0,0,1,0,0,0,0,0,4.94015e-05
479,crier,1,0,0,0,1,0,0,0,1,0,3.484366e-07
480,crime,1,0,0,0,1,0,0,0,0,0,6.112290000000001e-05
481,crimp,0,0,0,0,1,0,0,0,0,0,3.782386e-07
482,crisp,0,0,0,0,1,0,0,0,0,0,6.304197999999999e-06
483,croak,0,0,1,1,0,0,0,0,0,0,6.58316e-07
484,crock,0,0,0,1,0,0,0,0,0,0,5.569924e-07
485,crone,1,0,0,1,0,0,0,0,0,0,7.000125999999999e-07
486,crony,0,0,0,1,0,0,0,0,0,0,3.1708740000000003e-07
487,crook,0,0,0,2,0,0,0,0,0,0,2.809202e-06
488,cross,0,0,0,1,0,0,0,0,0,0,9.810932e-05
489,croup,0,0,0,1,0,0,0,0,0,0,3.788884e-07
490,crowd,0,0,0,1,0,0,0,0,0,0,4.1639339999999996e-05
491,crown,0,0,0,1,0,0,0,0,0,0,2.422352e-05
492,crude,1,0,0,0,0,0,0,0,0,0,8.822302e-06
493,cruel,1,0,0,0,0,0,0,0,0,0,1.417536e-05
494,crumb,0,0,0,0,0,0,0,0,0,0,1.0291886e-06
495,crump,0,0,0,0,0,0,0,0,0,0,4.2103360000000004e-07
496,crush,0,0,0,0,0,0,0,0,0,0,7.046590000000001e-06
497,crust,0,1,0,0,0,0,0,0,0,0,5.310186e-06
498,crypt,0,1,0,0,0,0,0,0,0,0,1.3496659999999999e-06
499,cubic,0,0,0,0,1,0,0,0,0,0,4.434086e-06
500,cumin,0,0,0,0,1,0,0,1,0,0,1.7675519999999998e-06
501,curio,0,0,0,1,1,0,0,0,0,0,2.8456420000000004e-07
502,curly,0,0,0,0,0,0,0,0,0,0,3.9492039999999995e-06
503,curry,0,0,0,0,0,0,0,0,0,0,4.091574e-06
504,curse,1,0,0,0,0,0,0,0,0,0,1.2518220000000001e-05
505,curve,1,0,0,0,0,0,0,0,0,0,2.9783119999999998e-05
506,curvy,0,0,0,0,0,0,0,0,0,0,7.304259999999999e-07
507,cutie,1,1,0,0,1,0,0,0,0,0,2.967058e-07
508,cyber,1,0,0,0,0,0,0,0,1,0,7.075776e-06
509,cycle,1,0,0,0,0,0,0,0,0,0,4.32497e-05
510,cynic,0,0,0,0,1,0,0,0,0,0,6.164864e-07
511,daddy,0,0,1,0,0,0,0,0,0,0,1.403024e-05
512,daily,0,0,1,0,1,0,0,0,0,0,7.974085999999998e-05
513,dairy,0,0,1,0,1,0,0,0,0,0,7.633946e-06
514,daisy,0,0,1,0,1,0,0,0,0,0,7.70928e-06
515,dally,0,0,1,0,0,0,0,0,0,0,2.9381599999999996e-07
516,dance,1,0,1,0,0,0,0,0,0,1,4.21535e-05
517,dandy,0,0,1,0,0,0,0,0,0,1,1.3049859999999998e-06
518,datum,0,1,1,0,0,0,0,0,0,0,1.1051672e-06
519,daunt,0,1,1,0,0,0,0,0,0,0,1.6660139999999997e-07
520,dealt,1,1,1,0,0,0,0,0,0,0,1.461438e-05
521,death,1,1,1,0,0,1,0,0,0,0,0.0002042458
522,debar,1,0,1,0,0,0,0,0,0,0,1.452244e-07
523,debit,1,1,0,0,1,0,0,0,0,0,2.435736e-06
524,debug,1,0,0,0,0,0,0,0,0,0,8.173186e-07
525,debut,1,1,0,0,0,0,0,0,0,0,2.8083719999999997e-06
526,decal,1,0,1,0,0,0,0,0,0,0,1.375488e-07
527,decay,1,0,1,0,0,0,0,0,0,0,9.649292e-06
528,decor,1,0,0,1,0,0,0,0,0,0,1.3076579999999999e-06
529,decoy,1,0,0,1,0,0,0,0,0,0,7.090878e-07
530,decry,1,0,0,0,0,0,0,0,0,0,2.7899019999999997e-07
531,defer,2,0,0,0,0,0,0,0,1,0,1.9045240000000002e-06
532,deign,1,0,0,0,1,0,0,0,0,0,4.4973399999999994e-07
533,deity,1,1,0,0,1,0,0,0,0,0,5.699682000000001e-06
534,delay,1,0,1,0,0,0,0,0,0,0,2.369736e-05
535,delta,1,1,1,0,0,0,0,0,0,0,8.250088000000001e-06
536,delve,2,0,0,0,0,0,0,0,0,0,1.439982e-06
537,demon,1,0,0,1,0,0,0,0,0,0,1.2192186e-05
538,demur,1,0,0,0,0,0,0,0,0,0,2.6529879999999996e-07
539,denim,1,0,0,0,1,0,0,0,0,0,1.5921079999999998e-06
540,dense,2,0,0,0,0,0,0,0,0,0,1.241056e-05
541,depot,1,1,0,1,0,0,0,0,0,0,3.2323900000000003e-06
542,depth,1,1,0,0,0,1,0,0,0,0,3.550968e-05
543,derby,1,0,0,0,0,0,0,0,1,0,2.4250739999999996e-06
544,deter,2,1,0,0,0,0,0,0,1,0,3.16736e-06
545,detox,1,1,0,1,0,0,0,0,0,0,6.62541e-07
546,deuce,2,0,0,0,0,0,0,0,0,0,9.661942e-07
547,devil,1,0,0,0,1,0,0,0,0,0,2.439764e-05
548,diary,0,0,1,0,1,0,0,0,0,0,1.3410679999999999e-05
549,dicey,1,0,0,0,1,0,0,0,0,0,4.801392000000001e-07
550,digit,0,1,0,0,2,0,0,0,0,0,4.170674e-06
551,dilly,0,0,0,0,1,0,0,0,0,0,3.6725700000000004e-07
552,dimly,0,0,0,0,1,0,0,0,0,0,3.2106719999999997e-06
553,diner,1,0,0,0,1,0,0,1,1,0,3.0273540000000004e-06
554,dingo,0,0,0,1,1,0,0,1,0,0,3.2948999999999997e-07
555,dingy,0,0,0,0,1,0,0,1,0,0,1.457148e-06
556,diode,1,0,0,1,1,0,0,0,0,0,2.2561960000000004e-06
557,dirge,1,0,0,0,1,0,0,0,0,0,3.62374e-07
558,dirty,0,1,0,0,1,0,0,0,0,0,1.886164e-05
559,disco,0,0,0,1,1,0,0,0,0,0,1.247856e-06
560,ditch,0,1,0,0,1,0,0,0,0,0,4.824198e-06
561,ditto,0,2,0,1,1,0,0,0,0,0,7.96328e-07
562,ditty,0,2,0,0,1,0,0,0,0,0,3.0901280000000003e-07
563,diver,1,0,0,0,1,0,0,0,1,0,1.194212e-06
564,dizzy,0,0,0,0,1,0,0,0,0,0,3.7236999999999996e-06
565,dodge,1,0,0,1,0,0,0,0,0,0,3.939022e-06
566,dodgy,0,0,0,1,0,0,0,0,0,0,5.121166e-07
567,dogma,0,0,1,1,0,0,0,0,0,0,2.34354e-06
568,doing,0,0,0,1,1,0,0,1,0,0,0.0001835552
569,dolly,0,0,0,1,0,0,0,0,0,0,3.5635819999999996e-06
570,donor,0,0,0,2,0,0,0,0,0,0,9.929212e-06
571,donut,0,1,0,1,0,0,0,0,0,0,7.660496e-07
572,dopey,1,0,0,1,0,0,0,0,0,0,2.115008e-07
573,doubt,0,1,0,1,0,0,0,0,0,0,7.28667e-05
574,dough,0,0,0,1,0,0,0,0,0,0,7.653244e-06
575,dowdy,0,0,0,1,0,0,0,0,0,0,3.067062e-07
576,dowel,1,0,0,1,0,0,0,0,0,0,2.693116e-07
577,downy,0,0,0,1,0,0,0,0,0,0,6.436432000000001e-07
578,dowry,0,0,0,1,0,0,0,0,0,0,1.71223e-06
579,dozen,1,0,0,1,0,0,0,0,0,0,2.2524019999999998e-05
580,draft,0,1,1,0,0,0,0,0,0,0,1.799448e-05
581,drain,0,0,1,0,1,0,0,1,0,0,9.99499e-06
582,drake,1,0,1,0,0,0,0,0,0,0,6.2631219999999996e-06
583,drama,0,0,2,0,0,0,0,0,0,0,1.920562e-05
584,drank,0,0,1,0,0,0,0,0,0,1,1.2279099999999999e-05
585,drape,1,0,1,0,0,0,0,0,0,0,8.488932e-07
586,drawl,0,0,1,0,0,0,0,0,0,0,7.945922e-07
587,drawn,0,0,1,0,0,0,0,0,0,0,4.734544e-05
588,dread,1,0,1,0,0,0,0,0,0,0,8.42081e-06
589,dream,1,0,1,0,0,0,0,0,0,0,5.3801559999999994e-05
590,dress,1,0,0,0,0,0,0,0,0,0,4.63966e-05
591,dried,1,0,0,0,1,0,0,0,0,0,1.7451299999999997e-05
592,drier,1,0,0,0,1,0,0,0,1,0,9.95502e-07
593,drift,0,1,0,0,1,0,0,0,0,0,9.172496e-06
594,drill,0,0,0,0,1,0,0,0,0,0,6.997574e-06
595,drink,0,0,0,0,1,0,0,1,0,0,5.647384e-05
596,drive,1,0,0,0,1,0,0,0,0,0,6.78319e-05
597,droit,0,1,0,1,1,0,0,0,0,0,1.777768e-06
598,droll,0,0,0,1,0,0,0,0,0,0,5.966877999999999e-07
599,drone,1,0,0,1,0,0,0,0,0,0,4.039548e-06
600,drool,0,0,0,2,0,0,0,0,0,0,6.760202000000001e-07
601,droop,0,0,0,2,0,0,0,0,0,0,8.235505999999999e-07
602,dross,0,0,0,1,0,0,0,0,0,0,3.9029880000000004e-07
603,drove,1,0,0,1,0,0,0,0,0,0,3.2637940000000004e-05
604,drown,0,0,0,1,0,0,0,0,0,0,3.3645140000000005e-06
605,druid,0,0,0,0,1,0,0,0,0,0,7.15564e-07
606,drunk,0,0,0,0,0,0,0,0,0,0,1.72876e-05
607,dryer,1,0,0,0,0,0,0,0,1,0,1.6804340000000001e-06
608,dryly,0,0,0,0,0,0,0,0,0,0,1.815008e-06
609,duchy,0,0,0,0,0,0,0,0,0,0,1.0646068e-06
610,dully,0,0,0,0,0,0,0,0,0,0,6.637206000000001e-07
611,dummy,0,0,0,0,0,0,0,0,0,0,3.3313279999999997e-06
612,dumpy,0,0,0,0,0,0,0,0,0,0,2.073666e-07
613,dunce,1,0,0,0,0,0,0,0,0,0,2.341258e-07
614,dusky,0,0,0,0,0,0,0,0,0,0,1.563788e-06
615,dusty,0,1,0,0,0,0,0,0,0,0,6.416158e-06
616,dutch,0,1,0,0,0,0,0,0,0,0,2.47224e-05
617,duvet,1,1,0,0,0,0,0,0,0,0,7.923984e-07
618,dwarf,0,0,1,0,0,0,0,0,0,0,3.797518e-06
619,dwell,1,0,0,0,0,0,0,0,0,0,8.545188e-06
620,dwelt,1,1,0,0,0,0,0,0,0,0,3.4283699999999997e-06
621,dying,0,0,0,0,1,0,0,1,0,0,2.580236e-05
622,eager,2,0,1,0,0,0,0,0,1,0,1.706082e-05
623,eagle,2,0,1,0,0,0,0,0,0,0,8.802929999999999e-06
624,early,1,0,1,0,0,0,0,0,0,0,0.00025187500000000004
625,earth,1,1,1,0,0,1,0,0,0,0,0.0001247458
626,easel,2,0,1,0,0,0,0,0,0,0,8.660698e-07
627,eaten,2,1,1,0,0,0,0,0,0,0,1.4005419999999998e-05
628,eater,2,1,1,0,0,0,0,0,1,0,1.289148e-06
629,ebony,1,0,0,1,0,0,0,0,0,0,1.6954679999999997e-06
630,eclat,1,1,1,0,0,0,0,0,0,0,5.35042e-08
631,edict,1,1,0,0,1,0,0,0,0,0,1.800728e-06
632,edify,1,0,0,0,1,0,0,0,0,0,1.7852300000000002e-07
633,eerie,3,0,0,0,1,0,0,0,1,0,2.5272179999999998e-06
634,egret,2,1,0,0,0,0,0,0,0,0,1.83014e-07
635,eight,1,1,0,0,1,0,0,0,0,0,6.938312e-05
636,eject,2,1,0,0,0,0,0,0,0,0,5.02315e-07
637,eking,1,0,0,0,1,0,0,1,0,0,1.1927299999999999e-07
638,elate,2,1,1,0,0,0,0,0,0,0,7.154937999999999e-08
639,elbow,1,0,0,1,0,0,0,0,0,0,1.22635e-05
640,elder,2,0,0,0,0,0,0,0,1,0,1.4761979999999999e-05
641,elect,2,1,0,0,0,0,0,0,0,0,5.346916e-06
642,elegy,2,0,0,0,0,0,0,0,0,0,9.703252e-07
643,elfin,1,0,0,0,1,0,0,1,0,0,3.591328e-07
644,elide,2,0,0,0,1,0,0,0,0,0,1.998412e-07
645,elite,2,1,0,0,1,0,0,0,0,0,1.890592e-05
646,elope,2,0,0,1,0,0,0,0,0,0,2.621828e-07
647,elude,2,0,0,0,0,0,0,0,0,0,8.688478e-07
648,email,1,0,1,0,1,0,0,0,0,0,1.898534e-05
649,embed,2,0,0,0,0,0,0,0,0,0,1.332618e-06
650,ember,2,0,0,0,0,0,0,0,1,0,1.430758e-06
651,emcee,3,0,0,0,0,0,0,0,0,0,1.6682560000000002e-07
652,empty,1,1,0,0,0,0,0,0,0,0,5.297824e-05
653,enact,1,1,1,0,0,0,0,0,0,0,3.367994e-06
654,endow,1,0,0,1,0,0,0,0,0,0,6.866108e-07
655,enema,2,0,1,0,0,0,0,0,0,0,5.189676e-07
656,enemy,2,0,0,0,0,0,0,0,0,0,5.0355540000000005e-05
657,enjoy,1,0,0,1,0,0,0,0,0,0,4.2062760000000004e-05
658,ennui,1,0,0,0,1,0,0,0,0,0,4.865592e-07
659,ensue,2,0,0,0,0,0,0,0,0,0,1.2612180000000002e-06
660,enter,2,1,0,0,0,0,0,0,1,0,5.487864e-05
661,entry,1,1,0,0,0,0,0,0,0,0,3.6037080000000006e-05
662,envoy,1,0,0,1,0,0,0,0,0,0,1.810756e-06
663,epoch,1,0,0,1,0,0,0,0,0,0,3.3653759999999998e-06
664,epoxy,1,0,0,1,0,0,0,0,0,0,1.9022239999999998e-06
665,equal,1,0,1,0,0,0,0,0,0,0,6.838432e-05
666,equip,1,0,0,0,1,0,0,0,0,0,1.6959360000000003e-06
667,erase,2,0,1,0,0,0,0,0,1,0,3.015244e-06
668,erect,2,1,0,0,0,0,0,0,1,0,5.333058e-06
669,erode,2,0,0,1,0,0,0,0,1,0,1.111928e-06
670,error,1,0,0,1,0,0,0,0,1,0,4.605476e-05
671,erupt,1,1,0,0,0,0,0,0,1,0,1.1359564e-06
672,essay,1,0,1,0,0,0,0,0,0,0,2.2870199999999997e-05
673,ester,2,1,0,0,0,0,0,0,1,0,2.42601e-06
674,ether,2,1,0,0,0,1,1,0,1,0,3.686586e-06
675,ethic,1,1,0,0,1,1,0,0,0,0,4.4023499999999994e-06
676,ethos,1,1,0,1,0,1,0,0,0,0,4.390962e-06
677,etude,2,1,0,0,0,0,0,0,0,0,2.802742e-07
678,evade,2,0,1,0,0,0,0,0,0,0,2.239262e-06
679,event,2,1,0,0,0,0,0,0,0,0,7.952582e-05
680,every,2,0,0,0,0,0,0,0,1,0,0.0003752554
681,evict,1,1,0,0,1,0,0,0,0,0,3.767072e-07
682,evoke,2,0,0,1,0,0,0,0,0,0,3.383708e-06
683,exact,1,1,1,0,0,0,0,0,0,0,2.52359e-05
684,exalt,1,1,1,0,0,0,0,0,0,0,8.849832e-07
685,excel,2,0,0,0,0,0,0,0,0,0,6.2910320000000005e-06
686,exert,2,1,0,0,0,0,0,0,1,0,5.479794e-06
687,exile,2,0,0,0,1,0,0,0,0,0,1.007281e-05
688,exist,1,1,0,0,1,0,0,0,0,0,5.2841659999999996e-05
689,expel,2,0,0,0,0,0,0,0,0,0,1.5046419999999998e-06
690,extol,1,1,0,1,0,0,0,0,0,0,3.7966260000000006e-07
691,extra,1,1,1,0,0,0,0,0,0,0,3.939072e-05
692,exult,1,1,0,0,0,0,0,0,0,0,2.694934e-07
693,eying,1,0,0,0,1,0,0,1,0,0,2.985364e-07
694,fable,1,0,1,0,0,0,0,0,0,0,1.9041279999999998e-06
695,facet,1,1,1,0,0,0,0,0,0,0,2.670472e-06
696,faint,0,1,1,0,1,0,0,1,0,0,1.6435219999999996e-05
697,fairy,0,0,1,0,1,0,0,0,0,0,1.0369338e-05
698,faith,0,1,1,0,1,1,0,0,0,0,8.657792e-05
699,false,1,0,1,0,0,0,0,0,0,0,4.605044e-05
700,fancy,0,0,1,0,0,0,0,0,0,1,1.808614e-05
701,fanny,0,0,1,0,0,0,0,0,0,1,4.434778e-06
702,farce,1,0,1,0,0,0,0,0,0,0,1.52324e-06
703,fatal,0,1,2,0,0,0,0,0,0,0,1.2019460000000001e-05
704,fatty,0,2,1,0,0,0,0,0,0,0,9.65521e-06
705,fault,0,1,1,0,0,0,0,0,0,0,3.070892e-05
706,fauna,0,0,2,0,0,0,0,0,0,0,2.430702e-06
707,favor,0,0,1,1,0,0,0,0,0,0,2.7414699999999997e-05
708,feast,1,1,1,0,0,0,0,0,0,0,1.1086804e-05
709,fecal,1,0,1,0,0,0,0,0,0,0,2.01878e-06
710,feign,1,0,0,0,1,0,0,0,0,0,6.713026e-07
711,fella,1,0,1,0,0,0,0,0,0,0,1.2775999999999998e-06
712,felon,1,0,0,1,0,0,0,0,0,0,6.31012e-07
713,femme,2,0,0,0,0,0,0,0,0,0,1.536214e-06
714,femur,1,0,0,0,0,0,0,0,0,0,1.785674e-06
715,fence,2,0,0,0,0,0,0,0,0,0,1.3009980000000001e-05
716,feral,1,0,1,0,0,0,0,0,1,0,1.6771820000000001e-06
717,ferry,1,0,0,0,0,0,0,0,1,0,5.99528e-06
718,fetal,1,1,1,0,0,0,0,0,0,0,9.021740000000001e-06
719,fetch,1,1,0,0,0,0,0,0,0,0,6.9107e-06
720,fetid,1,1,0,0,1,0,0,0,0,0,4.4007080000000004e-07
721,fetus,1,1,0,0,0,0,0,0,0,0,4.259028e-06
722,fever,2,0,0,0,0,0,0,0,1,0,2.033988e-05
723,fewer,2,0,0,0,0,0,0,0,1,0,1.9745479999999998e-05
724,fiber,1,0,0,0,1,0,0,0,1,0,1.634886e-05
725,ficus,0,0,0,0,1,0,0,0,0,0,2.692412e-07
726,field,1,0,0,0,1,0,0,0,0,0,0.0001579354
727,fiend,1,0,0,0,1,0,0,0,0,0,1.344711e-06
728,fiery,1,0,0,0,1,0,0,0,1,0,5.6665060000000005e-06
729,fifth,0,1,0,0,1,1,0,0,0,0,2.6899880000000002e-05
730,fifty,0,1,0,0,1,0,0,0,0,0,3.668228e-05
731,fight,0,1,0,0,1,0,0,0,0,0,6.883278000000001e-05
732,filer,1,0,0,0,1,0,0,0,1,0,2.498192e-07
733,filet,1,1,0,0,1,0,0,0,0,0,3.10658e-07
734,filly,0,0,0,0,1,0,0,0,0,0,3.7023020000000004e-07
735,filmy,0,0,0,0,1,0,0,0,0,0,3.443648e-07
736,filth,0,1,0,0,1,1,0,0,0,0,1.94586e-06
737,final,0,0,1,0,1,0,0,1,0,0,9.949322e-05
738,finch,0,0,0,0,1,0,0,1,0,0,1.948174e-06
739,finer,1,0,0,0,1,0,0,1,1,0,3.816880000000001e-06
740,first,0,1,0,0,1,0,0,0,0,0,0.0008822656
741,fishy,0,0,0,0,1,0,0,0,0,0,7.629442e-07
742,fixer,1,0,0,0,1,0,0,0,1,0,4.915233999999999e-07
743,fizzy,0,0,0,0,1,0,0,0,0,0,3.4483540000000005e-07
744,fjord,0,0,0,1,0,0,0,0,0,0,5.054474000000001e-07
745,flack,0,0,1,0,0,0,0,0,0,0,3.3944540000000003e-07
746,flail,0,0,1,0,1,0,0,0,0,0,5.090238e-07
747,flair,0,0,1,0,1,0,0,0,0,0,1.428384e-06
748,flake,1,0,1,0,0,0,0,0,0,0,9.22369e-07
749,flaky,0,0,1,0,0,0,0,0,0,0,5.652552e-07
750,flame,1,0,1,0,0,0,0,0,0,0,1.4874119999999998e-05
751,flank,0,0,1,0,0,0,0,0,0,1,4.544754e-06
752,flare,1,0,1,0,0,0,0,0,0,0,3.271168e-06
753,flash,0,0,1,0,0,0,0,0,0,0,1.876178e-05
754,flask,0,0,1,0,0,0,0,0,0,0,2.8820099999999995e-06
755,fleck,1,0,0,0,0,0,0,0,0,0,4.634712e-07
756,fleet,2,1,0,0,0,0,0,0,0,0,1.4876940000000001e-05
757,flesh,1,0,0,0,0,0,0,0,0,0,3.445346e-05
758,flick,0,0,0,0,1,0,0,0,0,0,2.8632239999999998e-06
759,flier,1,0,0,0,1,0,0,0,1,0,4.4948100000000005e-07
760,fling,0,0,0,0,1,0,0,1,0,0,2.4367920000000003e-06
761,flint,0,1,0,0,1,0,0,1,0,0,4.193344e-06
762,flirt,0,1,0,0,1,0,0,0,0,0,1.5840019999999998e-06
763,float,0,1,1,1,0,0,0,0,0,0,6.6234940000000005e-06
764,flock,0,0,0,1,0,0,0,0,0,0,6.199398e-06
765,flood,0,0,0,2,0,0,0,0,0,0,1.558304e-05
766,floor,0,0,0,2,0,0,0,0,0,0,0.00010559453999999999
767,flora,0,0,1,1,0,0,0,0,0,0,6.752814000000001e-06
768,floss,0,0,0,1,0,0,0,0,0,0,7.114194e-07
769,flour,0,0,0,1,0,0,0,0,0,0,1.3953960000000001e-05
770,flout,0,1,0,1,0,0,0,0,0,0,2.2369659999999997e-07
771,flown,0,0,0,1,0,0,0,0,0,0,4.215452000000001e-06
772,fluff,0,0,0,0,0,0,0,0,0,0,8.636338e-07
773,fluid,0,0,0,0,1,0,0,0,0,0,3.550168e-05
774,fluke,1,0,0,0,0,0,0,0,0,0,7.616468000000001e-07
775,flume,1,0,0,0,0,0,0,0,0,0,3.38336e-07
776,flung,0,0,0,0,0,0,0,0,0,0,9.43271e-06
777,flunk,0,0,0,0,0,0,0,0,0,0,8.780068e-08
778,flush,0,0,0,0,0,0,0,0,0,0,6.607084e-06
779,flute,1,1,0,0,0,0,0,0,0,0,2.825524e-06
780,flyer,1,0,0,0,0,0,0,0,1,0,1.386016e-06
781,foamy,0,0,1,1,0,0,0,0,0,0,4.5993039999999993e-07
782,focal,0,0,1,1,0,0,0,0,0,0,8.787604e-06
783,focus,0,0,0,1,0,0,0,0,0,0,0.00011842900000000001
784,foggy,0,0,0,1,0,0,0,0,0,0,1.3907100000000001e-06
785,foist,0,1,0,1,1,0,0,0,0,0,1.319826e-07
786,folio,0,0,0,2,1,0,0,0,0,0,1.866576e-06
787,folly,0,0,0,1,0,0,0,0,0,0,5.605128e-06
788,foray,0,0,1,1,0,0,0,0,0,0,8.855525999999999e-07
789,force,1,0,0,1,0,0,0,0,0,0,0.000144427
790,forge,1,0,0,1,0,0,0,0,0,0,4.193282000000001e-06
791,forgo,0,0,0,2,0,0,0,0,0,0,9.424737999999999e-07
792,forte,1,1,0,1,0,0,0,0,0,0,1.2319580000000001e-06
793,forth,0,1,0,1,0,1,0,0,0,0,5.338970000000001e-05
794,forty,0,1,0,1,0,0,0,0,0,0,3.554176e-05
795,forum,0,0,0,1,0,0,0,0,0,0,1.400108e-05
796,found,0,0,0,1,0,0,0,0,0,0,0.0003934374
797,foyer,1,0,0,1,0,0,0,0,1,0,2.9088979999999997e-06
798,frail,0,0,1,0,1,0,0,0,0,0,3.4691499999999996e-06
799,frame,1,0,1,0,0,0,0,0,0,0,4.214306e-05
800,frank,0,0,1,0,0,0,0,0,0,1,3.6676000000000006e-05
801,fraud,0,0,1,0,0,0,0,0,0,0,1.205982e-05
802,freak,1,0,1,0,0,0,0,0,0,0,3.5384579999999998e-06
